English,Japanese
attack,攻撃
back,バック
black,黒
crack,亀裂
hack,ハック
jack,ジャック
knack,こつ
lack,不足
pack,パック
quack,偽医者
rack,ラック
sack,袋
snack,スナック
stack,スタック
tack,タック
track,トラック
whack,強打
Zack,ザック
ad,広告
bad,悪い
brad,ブラッド
cad,CAD
clad,クラッド
dad,お父さん
doodad,あのもの
glad,嬉しい
had,持っていた
lad,若者
mad,怒って
pad,パッド
sad,悲しい
age,時代
cage,ケージ
engage,従事する
rage,激怒
sage,セージ
stage,ステージ
wage,賃金
ail,AIL
fail,失敗する
hail,雹
jail,刑務所
mail,郵便
nail,ネイル
pail,バケツ
rail,レール
sail,帆
snail,カタツムリ
tail,テール
wail,悲しむ
brain,脳
chain,チェーン
complain,文句を言う
explain,説明する
gain,ゲイン
grain,穀物
main,メイン
obtain,入手する
pain,痛み
plain,平野
rain,雨
slain,殺された者
Spain,スペイン
sprain,捻挫
stain,染み
strain,歪み
train,列車
vain,無駄な
awake,目がさめて
bake,焼く
brake,ブレーキ
cake,ケーキ
fake,偽物
flake,フレーク
Jake,ジェイク
lake,湖
make,作る
quake,地震
rake,熊手
sake,日本酒
shake,振る
snake,ヘビ
stake,利害関係
take,取る
wake,ウェイク
ale,エール
bale,俵
dale,デール
gale,強風
kale,ケール
male,男性
pale,淡い
sale,売却
scale,スケール
stale,古い
tale,物語
whale,クジラ
all,すべて
ball,ボール
call,コー​​ル
fall,秋
gall,胆嚢
hall,ホール
install,インストール
mall,モール
small,小
squall,スコール
stall,ストール
tall,背の高い
thrall,thrall
wall,壁
cam,カム
clam,ハマグリ
dam,ダム
dram,ドラム
exam,試験
gram,グラム
ham,ハム
jam,ジャム
lam,ラム
ma'am,マム
Pam,パム
ram,ラム
Sam,サム
scam,詐欺
slam,スラム
spam,スパム
swam,泳い
tam,TAM
tram,トラム
wham,ドカン
yam,山芋
blame,非難
came,来た
fame,名声
flame,炎
frame,フレーム
game,ゲーム
lame,ラメ
name,名前
same,同じ
shame,恥
tame,飼いならす
an,AN
ban,禁止
bran,ふすま
can,缶
clan,一族
Dan,ダン
fan,ファン
flan,フラン
Fran,フラン
Jan,ヤン
Japan,日本
man,男
pan,パン
pecan,ピーカン
plan,計画
ran,RAN
scan,スキャン
span,スパン
Stan,スタン
tan,日焼け
than,より
van,バン
bank,銀行
blank,空白
crank,クランク
dank,じめじめした
drank,飲んだ
flank,脇腹
frank,フランク
Hank,ハンク
plank,プランク
prank,いたずら
rank,ランク
sank,沈没
shrank,shrank
spank,たたく
tank,タンク
thank,感謝
yank,ヤンク
cap,キャップ
clap,拍手
flap,フラップ
gap,ギャップ
lap,ラップ
map,マップ
nap,昼寝
rap,ラップ
sap,樹液
scrap,スクラップ
slap,スラップ
snap,スナップ
strap,ストラップ
tap,タップ
trap,トラップ
wrap,ラップ
yap,ヤップ
zap,バシッ
afar,遠く
bar,バー
car,車
czar,皇帝
far,遠く
gar,ガー
guitar,ギター
jar,瓶
mar,マー
par,パー
scar,傷跡
spar,スパー
star,スター
tar,タール
tsar,皇帝
ash,灰
bash,BASH
brash,性急な
cash,現金
clash,衝突
crash,クラッシュ
dash,ダッシュ
flash,フラッシュ
gash,切り傷
gnash,歯ぎしり
hash,ハッシュ
lash,ラッシュ
mash,マッシュ
rash,発疹
sash,サッシ
slash,スラッシュ
smash,スマッシュ
splash,スプラッシュ
stash,スタッシュ
thrash,スラッシュ
trash,ごみ
at,に
bat,バット
brat,がき
cat,猫
chat,チャット
fat,脂肪
flat,フラット
gnat,ブヨ
hat,帽子
mat,マット
pat,パット
rat,ラット
sat,土
slat,スラット
spat,スパッツ
tat,TAT
that,その
vat,バット
abate,弱まる
ate,食べた
crate,木箱
date,日付
debate,ディベート
fate,運命
gate,ゲート
grate,火格子
hate,嫌い
Kate,ケイト
late,遅い
mate,メイト
plate,プレート
rate,率
relate,関連する
sate,サテ
skate,スケート
state,状態
caw,カーカーと鳴く
claw,爪
draw,描く
flaw,欠陥
gnaw,齧る
jaw,顎
law,法則
paw,足
raw,生
saw,のこぎり
slaw,コー​​ルスロー
straw,わら
thaw,解凍
away,離れて
bay,ベイ
bray,ブレイ
clay,粘土
day,日
decay,崩壊
delay,遅延
display,ディスプレイ
flay,皮をはぐ
gay,ゲイ
gray,グレー
hay,干し草
jay,ジェイ
lay,産む
may,かもしれない
nay,いや
okay,オーケー
pay,支払う
play,遊ぶ
pray,祈る
quay,岸壁
ray,線
relay,リレー
replay,リプレイ
say,言う
slay,殺す
spray,スプレー
stay,滞在
stray,ストレイ
sway,スウェイ
they,彼ら
today,今日
tray,トレー
way,道
beat,ビート
cheat,カンニング
cleat,クリート
eat,食べる
feat,功績
greet,挨拶する
heat,熱
meat,肉
neat,きちんとした
peat,泥炭
pleat,プリーツ
seat,シート
treat,扱う
wheat,小麦
eel,ウナギ
feel,感じる
heel,ヒール
keel,キール
kneel,ひざまずく
peel,皮
reel,リール
steel,スチール
wheel,ホイール
beep,ビープ音
creep,クリープ
deep,深い
jeep,ジープ
keep,キープ
peep,のぞき見
seep,浸透する
sheep,羊
sleep,スリープ
steep,急
sweep,スイープ
weep,泣く
beet,ビート
feet,フィート
fleet,艦隊
greet,挨拶する
meet,大会
sheet,シート
sleet,みぞれ
street,ストリート
sweet,甘い
tweet,ツイート
bell,鐘
dell,デル
dwell,ドエル
farewell,別れ
fell,落ちた
hell,地獄
sell,売る
shell,シェル
smell,香り
spell,スペル
swell,うねり
tell,言う
well,よく
yell,大声で叫ぶ
amen,アーメン
Ben,ベン
children,子供
den,デン
fen,フェン
gentlemen,殿方
glen,グレン
Gwen,グウェン
hen,めんどり
men,人々
open,オープン
pen,ペン
ten,10
then,その後
when,時
wren,ミソサザイ
yen,円
accent,アクセント
bent,曲がった
cent,セント
dent,へこみ
event,イベント
gent,紳士
lent,貸し出し
rent,家賃
scent,香り
sent,送信された
spent,使用済みの
tent,テント
vent,ベント
went,行ってきました
best,ベスト
chest,胸
crest,クレスト
jest,冗談
nest,巣
pest,害虫
quest,クエスト
rest,残り
test,テスト
unrest,不安
vest,ベスト
west,西
zest,ゼスト
dice,サイコロ
ice,アイス
mice,マウス
nice,すてきな
price,価格
rice,米
slice,スライス
spice,スパイス
splice,スプライス
thrice,3回
twice,2回
vice,バイス
brick,れんが
chick,ひよこ
click,クリック
flick,フリック
kick,キック
lick,なめる
nick,ニック
pick,選ぶ
quick,クイック
Rick,リック
sick,病人
slick,滑らかな
stick,スティック
thick,厚い
tick,ダニ
trick,トリック
wick,芯
bride,花嫁
decide,決める
glide,グライド
hide,隠す
pride,プライド
ride,乗る
side,サイド
slide,スライド
stride,ストライド
tide,潮
wide,広い
fife,横笛
knife,ナイフ
life,生活
strife,争い
wife,妻
bright,明るい
delight,喜び
fight,戦い
flight,フライト
fright,フライト
height,高さ
knight,ナイト
light,光
might,可能性がある
night,夜
plight,窮状
right,右
sight,視力
slight,わずかな
tight,タイト
tonight,今夜
bile,胆汁
file,ファイル
mile,マイル
Nile,ナイル川
pile,杭
rile,ニトリル
smile,笑顔
stile,踏み段
tile,タイル
vile,下劣な
while,同時に
bill,法案
chill,寒さ
dill,ディル
drill,ドリル
fill,埋める
frill,フリル
gill,ギル
grill,グリル
